date,weight,run_duration,wordcnt_read,wordcnt_remember,read_duration,listen_duration
2016-01-10,93.9,56,0,0,0,0
2016-01-11,93.6,48,0,0,20,0 2016-01-12,93.4,62,0,0,30,90
2016-01-13,92.9,33,0,100,20,60
2016-01-14,92.6,50,0,100,0,90
2016-01-15,92.4,58,0,100,0,90
2016-01-16,91.9,30,0,0,0,60
2016-01-17,92.1,52,0,0,0,60
2016-01-18,92.8,52,0,100,0,90
2016-01-19,92.5,58,0,100,0,90
2016-01-20,92.8,30,0,0,0,90
2016-01-21,92.8,0,0,0,0,0
2016-01-22,92.4,0,0,0,0,0
2016-01-23,92.7,0,0,0,0,0
2016-01-24,92.3,0,0,0,0,0
2016-01-25,92.2,0,0,0,0,0
2016-01-26,93.1,0,0,0,0,0
2016-01-27,92.7,0,0,0,0,0
2016-01-28,91.8,0,0,0,0,0
2016-01-29,93.0,0,0,0,0,0
2016-01-30,92.8,0,0,0,0,0
2016-01-31,92.3,55,0,0,0,0
2016-02-01,91.8,44,0,0,0,0
2016-02-02,92.3,38,0,0,0,0
2016-02-03,92.3,45,60,0,0,0
2016-03-27,93.2,40,60,0,0,0
